,Ticker,Security Name,Percent Change,Industry
128,COTY,"Coty, Inc",-48.09384350806152,Consumer Staples
190,FE,FirstEnergy Corp,-25.46419147796647,Utilities
394,REG,Regency Centers Corporation,-19.98031075515613,Real Estate
416,SLG,SL Green Realty,-18.754187096461003,Real Estate
172,EQR,Equity Residential,-17.41286084271376,Real Estate
73,BXP,Boston Properties,-16.943579864070298,Real Estate
186,FRT,Federal Realty Investment Trust,-16.50256034655449,Real Estate
451,UDR,"UDR, Inc.",-15.790740861487034,Real Estate
414,SPG,Simon Property Group Inc,-14.338232698282294,Real Estate
121,ED,Consolidated Edison,-14.010891248960016,Utilities
